,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
171,Machine Learning Engineer,Machine Learning Engineer,Zessta,"Hyderabad, Telangana","Designing and developing machine learning and deep learning systems according to the requirements.
Familiarity with machine learning frameworks (like Keras or…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=b7cc643d10b2c9b2&fccid=458903876d9a6b30&vjs=3
172,Data Science - 51878295,Machine Learning Engineer,Sage IT India,India,"A Data Scientist is a proficient specialist who applies mathematical, problem-solving, and coding skills to manage big data, extracting valuable insights.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=cbe2878c961b9407&fccid=159914c2b3cfd876&vjs=3
173,Python & AI/ML Developer,Machine Learning Engineer,Totality Corp,"Remote in Gurgaon, Haryana","Evaluate and refine existing machine learning models.
At least 2-3 production implementations of machine learning projects.",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=8c228ba566aced85&fccid=1f8edc6c3ee7dd85&vjs=3
174,Data Analyst,Machine Learning Engineer,8848 Digital LLP,Remote in Remote,"Continuously improve data analysis skills and expand knowledge of statistical analysis, machine learning, and data visualization techniques.",PostedPosted 30+ days ago,"₹7,00,000 - ₹9,00,000 a year",2023-08-30,https://in.indeed.com/company/Nexcen-Global/jobs/Data-Analyst-71e2e9164f4c7878?fccid=8998e89e6dd8d44a&vjs=3
175,BI Engineer,Machine Learning Engineer,HB Health Solutions Pvt Ltd,"Pune, Maharashtra","As the BI Engineer will be responsible for architecting and implementing BI framework for reporting, auditing, monitoring and visualising various organisational…",PostedPosted 30+ days ago,"₹10,00,000 - ₹15,00,000 a year",2023-08-30,https://in.indeed.com/company/HB-Health-Solutions-Pvt-Ltd/jobs/Business-Intelligence-Developer-4632997253e6e152?fccid=b00905fc764908b6&vjs=3
176,Machine Learning Engineer,Machine Learning Engineer,Collinson,"Hybrid remote in Mumbai, Maharashtra",Collaborate with data scientists and engineers to deploy new machine learning and deep learning models into complex and mission critical production systems.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=66c4d1e04e709b10&fccid=e95250d354b6a1c7&vjs=3
177,Data Engineer,Machine Learning Engineer,Litmus7,"Kochi, Kerala",We are looking for aspiring data engineers and data scientists who have learnt data engineering or data science by themselves or are beginners.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7c278aa5688beff2&fccid=1d1984970b1ebe81&vjs=3
178,Machine Learning Engineer 1,Machine Learning Engineer,Anuview,"Chennai, Tamil Nadu","In new product design roles: develops and programs integrated software algorithms to structure, analyze and leverage data in product and systems applications in…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=0d21d90bc0190dfe&fccid=e5f32920c98e523d&vjs=3
179,Enabling Areas - AI/ML + Gen AI - DEC,Machine Learning Engineer,Deloitte,"Bengaluru, Karnataka","Experience applying statistical modelling, machine learning, NLP, and other quantitative techniques to solve business problems.",PostedPosted 14 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=dc2f56f33981a3fd&fccid=9e215d88a6b33622&vjs=3
180,Junior Python Developer,Machine Learning Engineer,Wisdomleaf Technologies (P) Limited,India,Responsibilities : Participate in requirement gathering and analysis activities Create sensible documentation for features that you develop Develop new features…,PostedPosted 30+ days ago,"₹3,00,000 - ₹4,00,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=298089e9a99c56f2&fccid=91966216d300cee2&vjs=3
