,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
267,Senior Data Analyst / Data Modeler,Data Analyst,Exusia,Remote,"Data profiling and cleaning data for data analysis.
Interpret data, analyse results, prepare data analysis reports.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=fff96aaa2e4931ed&fccid=fe690726b66afb1e&vjs=3
268,Data Analytics Engineer,Data Analyst,Quest Global,"Bengaluru, Karnataka","Hands on experience on Python scripting and SQL for data extraction and data processing.
Experience on Data extraction, Data processing, analyzing data and…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=fdd4ba1369c29ba1&fccid=ad3813e46e9342cd&vjs=3
269,Data Analyst + Python + Power BI + Azure,Data Analyst,UST,"Hyderabad, Telangana","Collaborate with data engineers, product managers, and business partners to understand data needs and present key data insights visually.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1b1c647fc5ffdbfc&fccid=810178099fb1fcbc&vjs=3
270,Data Analyst,Data Analyst,XenonStack,"Mohali, Punjab","Provide quality assurance of imported data, working with quality assurance analysts if necessary.
Mining data from primary and secondary sources, then…",PostedPosted 11 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=1a0165b8edd4bad6&fccid=98ef5f1ebbc3d261&vjs=3
271,Data Analyst,Data Analyst,Godaam Innovations,"Nashik, Maharashtra","To build predictive models and machine learning algorithms with time series data.
Profiles from the field of Computer Science/Statistics/Mathematics/etc.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ff9d9e9a28282a09&fccid=8372aba008e53570&vjs=3
272,Data Analysis - Associate,Data Analyst,"Fiserv, Inc.","Thane District, Maharashtra","Develop, implement and maintain automated solutions for data analysis, data management, and data visualization.
Proven working experience in data analysis.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=e7ba65f305415961&fccid=1ea0475711674f3b&vjs=3
273,Data Analyst,Data Analyst,DAMS Pvt. Ltd. (eMedicoz),"Noida, Uttar Pradesh","Monitor data quality and ensure data integrity.
Proven experience as a data analyst or similar role.
Familiarity with data warehousing concepts and technologies…",EmployerActive 2 days ago,"₹15,000 - ₹28,000 a month",2023-08-30,https://in.indeed.com/company/DAMS-Pvt.-Ltd.-(eMedicoz)/jobs/Data-Analyst-1a633af0a26e899d?fccid=1aa2b20dbe9ccc05&vjs=3
274,Data Science Analyst,Data Analyst,Citi,"Chennai, Tamil Nadu","Mines and analyzes data from various banking platforms to drive optimization and improve data quality.
Interprets data and makes recommendations.",PostedPosted 19 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=8be9a7824051f44f&fccid=5bcd1ef0a7f4fb99&vjs=3
275,Trainee Data Analyst – Excel Operator,Data Analyst,Outsource Bigdata,Remote,"We are looking for Trainee data analyst – Excel operators.
Trainee Data Analyst – Excel Operator.
Any Degree BBA, B.com, BA, etc.",PostedPosted 29 days ago,"₹10,000 - ₹15,000 a month",2023-08-30,https://in.indeed.com/rc/clk?jk=a6b70627f9a24092&fccid=b076156190314a8f&vjs=3
276,Data Analyst,Data Analyst,Biocube,"Gurgaon, Haryana","Experience: 3-5 Years Location: Gurgaon, Haryana Position: 1 Apply Now Biocube Experience Bringing the Power of Identity in your hand– Equal Room for Growth…",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=ddc11c77f9c88d3c&fccid=c3b75a646e751f7a&vjs=3
277,Reference Data Analyst - Team Leader,Data Analyst,JPMorgan Chase & Co,"Mumbai, Maharashtra","The team manages and runs the index calculation engine used for daily and monthly index operations, client reporting and publication generation.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=f237687d0aa30963&fccid=c46d0116f6e69eae&vjs=3
278,Clinical Data Analyst - Oncology,Data Analyst,Agilite Global Solutions Company,Remote,"Must have worked on Oncology data sets.
Ability to read and understand lab data for Oncology.
Experience with working on different and vast data sets.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=a60b40601ba4f5c0&fccid=32c485c629a09ea2&vjs=3
