,title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
60,Data Scientist Trainee,Data Scientist,Ignitho,"Chennai, Tamil Nadu","Strongly prefer Computer Science Graduates - BE, MCA, ME related to Information Technology.
Good knowledge on Program Design, develop and building software…",PostedPosted 16 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=18ff07407962d344&fccid=78aa1257dda2abba&vjs=3
61,Data Scientist,Data Scientist,Globals Inc.,"Bengaluru, Karnataka","Experience using data visualization tools.
Experience with data querying languages, statistical or mathematical software.
Big Data experience is preferable.",PostedPosted 12 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=9bd956249277e54e&fccid=dcc2f695571b8693&vjs=3
62,Data Scientist,Data Scientist,Maersk,"Bengaluru, Karnataka","Participate in data governance and ensure data quality, integrity, and security throughout the data science lifecycle.",PostedPosted 30 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=537e70ae6b80bffd&fccid=14e7391c55beeb80&vjs=3
63,Data Scientist (Real-World Evidence or RWE or HEOR) - Homebased,Data Scientist,ICON,Remote,Contributing towards continual improvement of clinical data maintenance through collaboration with data scientists and data management teams.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=7ea36242c872cc33&fccid=6c527578251bc5e1&vjs=3
64,Data Scientist: Advanced Analytics,Data Scientist,IBM,"Gurgaon, Haryana+1 location",﻿﻿Coordinate data access and security to enable data scientists and analysts to easily access to data whenever they need too.,PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=55bf2f8cd21af324&fccid=de71a49b535e21cb&vjs=3
65,Data Scientist,Data Scientist,Paktolus,"Bengaluru, Karnataka","Should have experience in building & designing data warehouses.
Should have experience in working with API’s - deploying models, extracting data.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=43770c0cc1c13ee0&fccid=3095e1b2ada9dd27&vjs=3
66,Data Scientist,Data Scientist,Bosch Group,"Bengaluru, Karnataka","4 - 6 years of experience working as a data scientist.
Research, develop and apply data science, machine learning, and statistical methods to large data sets.",PostedPosted 9 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=21b1ff8cbadbe221&fccid=a2faf1301ac6ad4b&vjs=3
67,Data Science,Data Scientist,Globussoft Technologies,"Bengaluru, Karnataka","Develop custom data models and algorithms to apply to data sets.
Extending company’s data with third party sources of information when needed.",PostedPosted 30+ days ago,"₹3,60,000 a year",2023-08-30,https://in.indeed.com/rc/clk?jk=87a38e048bc40e5e&fccid=9b58c0acb36ad6d6&vjs=3
68,Data Scientist,Data Scientist,Ataloud Technologies,Remote,"Strong understanding of data structures and programming concepts.
Strong skills in data-structures and Machine Learning algorithms.",PostedPosted 30+ days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=6b74798b786fae75&fccid=4ae66d1f015c5361&vjs=3
69,Data Scientist,Data Scientist,CloudMoyo,"Pune, Maharashtra","Experience with big data, data visualization libraries will be appreciated.
Data mining over varied data sources.",PostedPosted 20 days ago,?,2023-08-30,https://in.indeed.com/rc/clk?jk=756f56ae2de76ff6&fccid=323536d4bcc369d0&vjs=3
